champion	winRate	pickRate	BanRate	region
アカリ	49.71%	6.28%	8.67%	Oceania
キヤナ	52.65%	1.73%	0.65%	Oceania
イレリア	51.14%	2.86%	4.33%	Oceania
フェイ	49.84%	5.29%	4.19%	Oceania
カタリナ	49.65%	5.68%	10.53%	Oceania
ベイガー	50.96%	3.39%	0.56%	Oceania
ゼラス	50.88%	3.31%	1.76%	Oceania
サイラス	48.23%	9.01%	12.33%	Oceania
ヤスオ	48.88%	6.59%	11.07%	Oceania
オーロラ	49.95%	3.83%	9.04%	Oceania
ジェイス	51.54%	2.01%	0.35%	Oceania
タロン	50.37%	3.09%	1.01%	Oceania
ヴェックス	50.25%	3.24%	4.01%	Oceania
カシオペア	51.76%	1.48%	0.79%	Oceania
ゼド	48.76%	5.16%	6.85%	Oceania
ラックス	49.7%	3.32%	1.19%	Oceania
エコー	49.41%	3.61%	1.52%	Oceania
ガングプランク	53.75%	0.52%	0.19%	Oceania
トリスターナ	51.93%	1.18%	0.12%	Oceania
フィズ	49.07%	3.37%	5.78%	Oceania
ケイル	52.79%	0.64%	0.34%	Oceania
ライズ	49.57%	2.67%	0.43%	Oceania
ダイアナ	49.59%	2.45%	1.17%	Oceania
リサンドラ	48.87%	3.21%	1.38%	Oceania
ルブラン	48.79%	2.98%	10.93%	Oceania
ブラッドミア	48.98%	2.9%	2.04%	Oceania
オリアナ	48.32%	3.52%	0.36%	Oceania
トリンダメア	52.53%	0.51%	0.34%	Oceania
ヴェル＝コズ	50.56%	1.16%	0.22%	Oceania
マルザハール	47.98%	3.57%	1.61%	Oceania
オレリオン・ソル	49.79%	1.57%	0.59%	Oceania
ナフィーリ	50.46%	1.05%	0.48%	Oceania
ケネン	51.48%	0.66%	0.38%	Oceania
ゾーイ	48.63%	2.15%	1.22%	Oceania
ガレン	50.9%	0.72%	0.31%	Oceania
ツイステッド・フェイト	47.14%	2.81%	0.2%	Oceania
ビクター	49.65%	15.73%	48.55%	KR
サイラス	49.66%	15.17%	14.42%	KR
ヨネ	48.11%	10.37%	6.65%	KR
アカリ	50.1%	10.22%	8.86%	KR
アーリ	50.42%	8.91%	1.36%	KR
オーロラ	49.38%	8.01%	14.38%	KR
ヤスオ	49.03%	7.14%	10.29%	KR
ルブラン	48.5%	6.86%	33.73%	KR
フェイ	50.37%	6.59%	5.71%	KR
ゼド	49.47%	6.11%	11.13%	KR
ガリオ	50.23%	6.03%	3.44%	KR
オリアナ	49.62%	6.01%	1.57%	KR
イレリア	51.54%	4.92%	10.78%	KR
カタリナ	51%	4.81%	2.23%	KR
ヴェックス	52.37%	4.64%	8.19%	KR
タロン	50.75%	3.92%	0.86%	KR
シンドラ	50.53%	3.84%	0.75%	KR
ツイステッド・フェイト	50.01%	3.45%	0.28%	KR
ゼラス	49.97%	3.2%	3.16%	KR
アジール	47.73%	3.05%	0.27%	KR
ライズ	50.35%	2.82%	0.41%	KR
リサンドラ	50.85%	2.8%	0.57%	KR
ゾーイ	51.64%	2.53%	0.83%	KR
ダイアナ	50.11%	2.43%	0.15%	KR
エコー	51.52%	2.32%	0.16%	KR
キヤナ	51.41%	2.05%	0.31%	KR
ジェイス	49.3%	2.03%	1.01%	KR
アニビア	52.28%	1.97%	0.85%	KR
マルザハール  50.02%  1.92%  0.43%  KR
アクシャン	52.29%	1.84%	1.29%	KR
フィズ	49.36%	1.79%	0.58%	KR
カシオペア	52.33%	1.77%	0.81%	KR
タリヤ	51.63%	1.71%	0.37%	KR
ブラッドミア	50.27%	1.48%	0.21%	KR
ベイガー	51.23%	1.32%	0.08%	KR
オレリオン・ソル	50.02%	1.3%	0.12%	KR
スウェイン	47.82%	1.22%	0.73%	KR
ラックス	49.51%	1.16%	0.2%	KR
カサディン	48.88%	1.12%	0.16%	KR
コーキ	47.48%	1.1%	1.21%	KR
スモルダー	42.19%	1.09%	0.26%	KR
パンテオン	50.98%	0.92%	0.1%	KR
グラガス	50.12%	0.91%	0.27%	KR
ニーコ	52.16%	0.91%	0.38%	KR
マルファイト	51.71%	0.71%	0.6%	KR
アニー	51.78%	0.7%	0.06%	KR
ナフィーリ	51.57%	0.7%	0.26%	KR
レネクトン	51.95%	0.65%	0.53%	KR
ヌヌ＆ウィルンプ	51.91%	0.63%	0.11%	KR
アンベッサ	48.3%	0.63%	2.54%	KR
ビクター	50.24%	15.26%	46.99%	JP
サイラス	50.38%	9.39%	10.05%	JP
フェイ	49.86%	9.22%	7.44%	JP
アーリ	49.57%	8.28%	2.02%	JP
ヨネ	48.78%	7.81%	4.72%	JP
ガリオ	51.27%	7.56%	6.86%	JP
アカリ	49.3%	6.1%	8.45%	JP
ヤスオ	49.89%	5.99%	7.25%	JP
マルザハール	50%	5.66%	5.49%	JP
オーロラ	48.97%	5.38%	7.82%	JP
ゼド	49.38%	4.92%	7.95%	JP
カタリナ	51.86%	4.9%	5.3%	JP
ルブラン	47.84%	4.47%	11.03%	JP
ブラッドミア	50.23%	4.08%	2.19%	JP
ヴェックス	50.11%	4.05%	5.89%	JP
ゼラス	51.62%	3.99%	4.73%	JP
ライズ	51.58%	3.78%	0.44%	JP
シンドラ	45.02%	3.52%	1.53%	JP
イレリア	50.18%	3.51%	7.23%	JP
ツイステッド・フェイト	49.67%	3.44%	0.43%	JP
オレリオン・ソル	53.33%	3.32%	1.38%	JP
エコー	53.71%	3.06%	0.88%	JP
ベイガー	52.3%	2.88%	0.86%	JP
タロン	52.11%	2.84%	2.46%	JP
オリアナ	46.95%	2.8%	0.5%	JP
アクシャン	51.75%	2.7%	2.69%	JP
リサンドラ	50.92%	2.55%	0.58%	JP
フィズ	51.16%	2.43%	2.01%	JP
ダイアナ	49.73%	2.35%	0.53%	JP
スウェイン	47.67%	2.31%	1.78%	JP
アニビア	54.86%	2.3%	1.64%	JP
ジェイス	47.89%	2.25%	0.7%	JP
カサディン	47.9%	2.04%	2.7%	JP
キヤナ	47.84%	1.98%	0.67%	JP
ラックス	48.78%	1.94%	0.4%	JP
スモルダー	39.79%	1.82%	1.24%	JP
アジール	48.44%	1.73%	0.22%	JP
タリヤ	48.7%	1.7%	0.95%	JP
ナフィーリ	50.78%	1.61%	0.59%	JP
ニーコ	55.6%	1.46%	0.52%	JP
ゾーイ	47.82%	1.38%	0.57%	JP
マルファイト	50.41%	1.14%	0.98%	JP
ヴェル＝コズ	50.84%	1.11%	0.25%	JP
ガレン	54.39%	1.11%	0.24%	JP
アニー	54.88%	1.1%	0.18%	JP
カシオペア	48.19%	1.05%	0.59%	JP
グラガス	52.84%	0.99%	0.22%	JP
サイオン	52.38%	0.99%	0.31%	JP
コーキ	47.41%	0.98%	1.06%	JP
モルデカイザー	48.46%	0.92%	1.17%	JP
ビクター	50.64%	18.48%	25.19%	BR
アーリ	50.41%	10.14%	5.17%	BR
ヤスオ	49.32%	10.12%	23.91%	BR
ラックス	51.76%	8.32%	6.78%	BR
カタリナ	50.5%	8.26%	12.4%	BR
ヨネ	48.32%	7%	8.77%	BR
ゼド	49.15%	6.66%	15.93%	BR
サイラス	49.35%	6.43%	3.77%	BR
ブラッドミア	50.74%	5.8%	5.89%	BR
アカリ	51.05%	5.61%	10.43%	BR
イレリア	50.77%	5.5%	10.81%	BR
ルブラン	47.91%	5.17%	11.51%	BR
フェイ	50.68%	5.11%	3.82%	BR
カサディン	51.71%	4.82%	8.3%	BR
オーロラ	50.88%	4.67%	10.97%	BR
マルザハール	51.52%	4.26%	4.46%	BR
シンドラ	49.04%	4.09%	1.61%	BR
オリアナ	50.1%	3.65%	0.6%	BR
ベイガー	51.13%	3.64%	0.5%	BR
フィズ	50.77%	3.36%	3.35%	BR
ジェイス	48.36%	2.9%	0.51%	BR
ガリオ	50.65%	2.76%	0.97%	BR
ライズ	51.82%	2.6%	0.35%	BR
タロン	51.68%	2.46%	0.81%	BR
エコー	50.64%	2.43%	0.63%	BR
リサンドラ	51.04%	2.38%	0.95%	BR
ヴェックス	53.14%	2.37%	3.88%	BR
オレリオン・ソル	52.23%	2.36%	0.69%	BR
ゾーイ	50.12%	2.29%	0.48%	BR
キヤナ	52.66%	2.28%	0.76%	BR
ダイアナ	51.52%	2.27%	0.65%	BR
アジール	48.79%	2.23%	0.32%	BR
ゼラス	52.19%	2.14%	0.67%	BR
ツイステッド・フェイト	50.16%	1.94%	0.08%	BR
タリヤ	53.04%	1.83%	0.48%	BR
スモルダー	42.68%	1.81%	0.52%	BR
スウェイン	50.1%	1.77%	0.89%	BR
アニビア	52.09%	1.76%	0.88%	BR
アクシャン	52.75%	1.7%	0.68%	BR
カシオペア	50.83%	1.42%	0.57%	BR
アニー	51.33%	1.37%	0.16%	BR
ナフィーリ	50.77%	0.99%	0.33%	BR
グラガス	49.51%	0.92%	0.44%	BR
ジグス	49.23%	0.83%	0.12%	BR
ヴェル＝コズ	50.38%	0.73%	0.12%	BR
コーキ	46.89%	0.68%	0.52%	BR
ケイル	52.57%	0.6%	0.1%	BR
ガングプランク	49.9%	0.58%	0.23%	BR
パンテオン	48.35%	0.56%	0.15%	BR
マルファイト	52.53%	0.53%	0.64%	BR
